run_id,campaign_id,system_id,model,replicate,run_index,run_status,failure_stage,failure_category,failure_reason,started_at,finished_at,schema_valid,referential_valid,strict_deterministic,guard_aware_deterministic,requirement_coverage,behavioral_pass_rate,final_state_agreement,trace_agreement,rejected_event_agreement,missing_transitions,extra_transitions,tier
C1_pilot_ollama_behavioral__login_system__qwen2.5-coder_7b__r01,C1_pilot_ollama_behavioral,login_system,qwen2.5-coder:7b,1,21,passed,none,none,,2026-06-03T05:51:42+00:00,2026-06-03T05:51:48+00:00,True,True,True,True,0.6666666666666666,0.5,0.0,0.0,1.0,2,2,pilot
C1_pilot_ollama_behavioral__login_system__qwen2.5-coder_7b__r02,C1_pilot_ollama_behavioral,login_system,qwen2.5-coder:7b,2,22,passed,none,none,,2026-06-03T05:51:48+00:00,2026-06-03T05:51:52+00:00,True,True,True,True,0.6666666666666666,0.5,0.0,0.0,1.0,2,2,pilot
C1_pilot_ollama_behavioral__login_system__qwen2.5-coder_7b__r03,C1_pilot_ollama_behavioral,login_system,qwen2.5-coder:7b,3,23,passed,none,none,,2026-06-03T05:51:52+00:00,2026-06-03T05:51:56+00:00,True,True,True,True,0.6666666666666666,0.5,0.0,0.0,1.0,2,2,pilot
C1_pilot_ollama_behavioral__login_system__qwen2.5-coder_7b__r04,C1_pilot_ollama_behavioral,login_system,qwen2.5-coder:7b,4,24,passed,none,none,,2026-06-03T05:51:56+00:00,2026-06-03T05:52:01+00:00,True,True,True,True,0.6666666666666666,0.5,0.0,0.0,1.0,2,2,pilot
C1_pilot_ollama_behavioral__login_system__qwen2.5-coder_7b__r05,C1_pilot_ollama_behavioral,login_system,qwen2.5-coder:7b,5,25,passed,none,none,,2026-06-03T05:52:01+00:00,2026-06-03T05:52:05+00:00,True,True,True,True,0.6666666666666666,0.5,0.0,0.0,1.0,2,2,pilot
C1_pilot_ollama_behavioral__login_system__llama3.1_8b__r01,C1_pilot_ollama_behavioral,login_system,llama3.1:8b,1,26,passed,none,none,,2026-06-03T05:52:05+00:00,2026-06-03T05:52:10+00:00,True,True,False,False,0.6666666666666666,0.5,0.0,0.0,1.0,2,2,pilot
C1_pilot_ollama_behavioral__login_system__llama3.1_8b__r02,C1_pilot_ollama_behavioral,login_system,llama3.1:8b,2,27,passed,none,none,,2026-06-03T05:52:10+00:00,2026-06-03T05:52:14+00:00,True,True,False,False,0.6666666666666666,0.5,0.0,0.0,1.0,2,2,pilot
C1_pilot_ollama_behavioral__login_system__llama3.1_8b__r03,C1_pilot_ollama_behavioral,login_system,llama3.1:8b,3,28,passed,none,none,,2026-06-03T05:52:14+00:00,2026-06-03T05:52:18+00:00,True,True,False,False,0.6666666666666666,0.5,0.0,0.0,1.0,2,2,pilot
C1_pilot_ollama_behavioral__login_system__llama3.1_8b__r04,C1_pilot_ollama_behavioral,login_system,llama3.1:8b,4,29,passed,none,none,,2026-06-03T05:52:18+00:00,2026-06-03T05:52:22+00:00,True,True,False,False,0.6666666666666666,0.5,0.0,0.0,1.0,2,2,pilot
C1_pilot_ollama_behavioral__login_system__llama3.1_8b__r05,C1_pilot_ollama_behavioral,login_system,llama3.1:8b,5,30,passed,none,none,,2026-06-03T05:52:22+00:00,2026-06-03T05:52:25+00:00,True,True,False,False,0.6666666666666666,0.5,0.0,0.0,1.0,2,2,pilot
C1_pilot_ollama_behavioral__login_system__mistral-nemo_12b__r01,C1_pilot_ollama_behavioral,login_system,mistral-nemo:12b,1,31,passed,none,none,,2026-06-03T05:52:25+00:00,2026-06-03T05:52:32+00:00,True,True,True,True,0.6666666666666666,0.5,0.0,0.0,1.0,4,4,pilot
C1_pilot_ollama_behavioral__login_system__mistral-nemo_12b__r02,C1_pilot_ollama_behavioral,login_system,mistral-nemo:12b,2,32,passed,none,none,,2026-06-03T05:52:32+00:00,2026-06-03T05:52:37+00:00,True,True,True,True,0.6666666666666666,0.5,0.0,0.0,1.0,4,4,pilot
