model,n_runs,g1_pass_rate,g2_pass_rate,g3_pass_rate,g3a_pass_rate,behaviourally_scored_n,full_behavioural_pass_n,full_behavioural_pass_rate_scored,mean_behavioral_pass_rate,median_behavioral_pass_rate,mean_requirement_coverage,mean_n_states,mean_n_transitions,mean_missing_transitions,mean_extra_transitions
gemma2:9b,60,1.0,0.9090909090909091,0.9818181818181818,0.9818181818181818,55,10,0.18181818181818182,0.4508689839572191,0.3125,0.6106060606060605,3.5833333333333335,4.7,3.090909090909091,3.4
llama3.1:8b,60,1.0,0.7727272727272727,0.6590909090909091,0.7727272727272727,44,5,0.11363636363636363,0.5110851158645278,0.5,0.7736742424242423,3.5833333333333335,6.083333333333333,2.090909090909091,3.6818181818181817
mistral-nemo:12b,60,1.0,1.0,0.8181818181818182,0.8181818181818182,55,10,0.18181818181818182,0.47359625668449185,0.3529411764705882,0.6946969696969696,3.5833333333333335,5.483333333333333,3.1818181818181817,4.345454545454546
qwen2.5-coder:7b,60,0.9166666666666666,0.9090909090909091,1.0,1.0,55,5,0.09090909090909091,0.5184937611408198,0.5,0.653030303030303,3.5833333333333335,5.25,2.5454545454545454,3.3636363636363638
