system_id,n_runs,g1_pass_rate,g2_pass_rate,g3_pass_rate,g3a_pass_rate,behaviourally_scored_n,full_behavioural_pass_n,full_behavioural_pass_rate_scored,mean_behavioral_pass_rate,median_behavioral_pass_rate,mean_requirement_coverage,mean_n_states,mean_n_transitions,mean_missing_transitions,mean_extra_transitions
access_control,20,1.0,1.0,0.45,0.45,20,0,0.0,0.4583333333333333,0.5,0.5375,2.0,5.05,1.5,4.3
atm,20,0.75,1.0,1.0,1.0,14,0,0.0,0.3125,0.3125,0.7857142857142857,4.0,6.45,4.071428571428571,4.357142857142857
bike_rental,20,1.0,1.0,1.0,1.0,5,0,0.0,0.7647058823529411,0.7647058823529411,0.625,4.0,5.25,1.0,1.0
elevator,20,1.0,1.0,1.0,1.0,15,0,0.0,0.25,0.25,0.5,4.0,4.5,4.0,4.0
hotel_booking,20,1.0,0.5,0.75,1.0,20,5,0.25,0.75,0.875,0.7875,4.0,6.8,1.25,2.55
login_system,20,1.0,1.0,0.75,0.75,20,5,0.25,0.625,0.5,0.6666666666666665,3.0,4.0,2.0,2.0
package_locker,20,1.0,1.0,0.75,0.75,20,0,0.0,0.44117647058823534,0.3529411764705882,0.6875,4.0,5.5,3.25,4.75
parking_gate,20,1.0,1.0,1.0,1.0,15,0,0.0,0.29411764705882343,0.2941176470588235,0.5333333333333333,4.0,4.5,3.6666666666666665,4.333333333333333
smart_thermostat,20,1.0,1.0,1.0,1.0,20,20,1.0,1.0,1.0,0.78125,3.0,6.25,0.0,0.25
train_ticket_booking,20,1.0,1.0,1.0,1.0,20,0,0.0,0.25,0.25,0.8125,4.0,6.75,5.0,6.75
vending_machine,20,1.0,0.75,1.0,1.0,20,0,0.0,0.5,0.5,0.5833333333333333,3.0,3.5,2.0,2.5
warehouse_inventory,20,1.0,0.75,1.0,1.0,20,0,0.0,0.25,0.25,0.75,4.0,6.0,5.0,6.0
