gate_pattern,run_count,full_behavioural_pass_n,mean_behavioral_pass_rate,proportion,gate_pattern_label
1011,20,0,0.46875,0.09569377990430622,G1/G2/G3/G3a=1/0/1/1
1100,21,0,0.3856209150326797,0.10047846889952153,G1/G2/G3/G3a=1/1/0/0
1101,5,0,0.875,0.023923444976076555,G1/G2/G3/G3a=1/1/0/1
1111,163,30,0.49081258270179234,0.7799043062200957,G1/G2/G3/G3a=1/1/1/1
