predictor_set,family_label,model,roc_auc_mean,roc_auc_std,roc_auc_median,roc_auc_p025,roc_auc_p975,roc_auc_n_valid,pr_auc_mean,pr_auc_std,pr_auc_median,pr_auc_p025,pr_auc_p975,pr_auc_n_valid,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_p025,balanced_accuracy_p975,balanced_accuracy_n_valid,f1_mean,f1_std,f1_median,f1_p025,f1_p975,f1_n_valid,mcc_mean,mcc_std,mcc_median,mcc_p025,mcc_p975,mcc_n_valid
A_gate_only,Family A gates,random_forest,0.6138212290502794,0.007451590805593663,0.6128491620111732,0.5993854748603352,0.6290782122905028,100.0,0.17724343349912408,0.003258887877476233,0.17683581621131927,0.17150016515204697,0.18324799570217934,100.0,0.628491620111732,1.1158161231197418e-16,0.6284916201117319,0.6284916201117319,0.6284916201117319,100.0,0.31088082901554415,1.1158161231197418e-16,0.31088082901554404,0.31088082901554404,0.31088082901554404,100.0,0.2174799505137983,8.368620923398064e-17,0.2174799505137982,0.2174799505137982,0.2174799505137982,100.0
B_basic_structural,Family B graph tallies,random_forest,0.98069739292365,0.002673859824798209,0.980586592178771,0.9758356610800745,0.9854795158286778,100.0,0.9033456917111704,0.010155249765189845,0.9034354196655886,0.8855620747080791,0.922356401885323,100.0,0.9568510242085663,0.008810954697916493,0.958100558659218,0.958100558659218,0.958100558659218,100.0,0.7989710024855011,0.0075947302795422245,0.8,0.8,0.8,100.0,0.7800882511541596,0.010505855494115684,0.7815374238505518,0.7815374238505518,0.7815374238505518,100.0
C_reference_difference,Family C ref-diff,random_forest,1.0,0.0,1.0,1.0,1.0,100.0,1.0,0.0,1.0,1.0,1.0,100.0,1.0,0.0,1.0,1.0,1.0,100.0,1.0,0.0,1.0,1.0,1.0,100.0,1.0,0.0,1.0,1.0,1.0,100.0
D_combined,Family D combined,random_forest,1.0,1.578002294430506e-17,1.0,1.0,1.0,100.0,1.0,1.578002294430506e-17,1.0,1.0,1.0,100.0,1.0,0.0,1.0,1.0,1.0,100.0,1.0,0.0,1.0,1.0,1.0,100.0,1.0,0.0,1.0,1.0,1.0,100.0
dummy_stratified,stratified dummy,dummy_stratified,0.5046508379888267,0.04421929085802181,0.502513966480447,0.4299813780260707,0.5955516759776536,100.0,0.1503035553693625,0.014154912281906178,0.14418660287081342,0.13739009528483212,0.19134276030986555,100.0,0.5046508379888267,0.044219290858021815,0.502513966480447,0.4299813780260708,0.5955516759776536,100.0,0.1401358341469097,0.08459218693032655,0.13922518159806296,0.0,0.30645371577574965,100.0,0.007109577055609424,0.08799448255199746,0.005992812934134314,-0.1260299992111993,0.18295586431712438,100.0
