predictor_set,predictor_label,seed,auc_pooled,auc_within_groups,auc_cross_groups,n_within_pairs,n_cross_pairs,n_total_pairs,share_within_pairs,share_cross_pairs
B_basic_structural,Family B graph tallies,0,0.9786778398510242,0.7133333333333334,0.9863026819923372,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,1,0.9791433891992551,0.7066666666666667,0.9869731800766284,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,2,0.9810055865921788,0.7433333333333333,0.9878352490421456,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,3,0.9844506517690875,0.7566666666666667,0.9909961685823755,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,4,0.9833333333333333,0.7666666666666667,0.98955938697318,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,5,0.9782122905027933,0.7266666666666667,0.98544061302682,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,6,0.9827746741154563,0.7733333333333333,0.9887931034482759,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,7,0.9794227188081938,0.7433333333333333,0.9862068965517241,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,8,0.9758845437616388,0.7133333333333334,0.9834291187739463,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,9,0.9809124767225326,0.7333333333333333,0.9880268199233716,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,10,0.9789571694599627,0.7566666666666667,0.9853448275862069,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,11,0.9823091247672253,0.72,0.9898467432950192,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,12,0.9799813780260708,0.7666666666666667,0.9861111111111112,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,13,0.9757914338919925,0.73,0.9828544061302682,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,14,0.9798882681564245,0.7433333333333333,0.9866858237547893,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,15,0.9822160148975791,0.77,0.9883141762452107,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,16,0.982122905027933,0.7766666666666666,0.9880268199233716,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,17,0.9780260707635009,0.73,0.9851532567049809,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,18,0.9818435754189944,0.7766666666666666,0.9877394636015325,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,19,0.9812849162011172,0.7433333333333333,0.9881226053639847,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,20,0.9791433891992551,0.72,0.9865900383141762,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,21,0.9791433891992551,0.7933333333333333,0.9844827586206897,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,22,0.9802607076350094,0.7233333333333334,0.9876436781609196,150,5220,5370,0.027932960893854747,0.9720670391061452
