predictor_set,predictor_label,n_systems,n_bootstrap_iterations,auc_pooled_point,auc_pooled_median,auc_pooled_p025,auc_pooled_p975,auc_pooled_n_valid,auc_pooled_nan_fraction,auc_within_groups_point,auc_within_groups_median,auc_within_groups_p025,auc_within_groups_p975,auc_within_groups_n_valid,auc_within_groups_nan_fraction,auc_cross_groups_point,auc_cross_groups_median,auc_cross_groups_p025,auc_cross_groups_p975,auc_cross_groups_n_valid,auc_cross_groups_nan_fraction
B_basic_structural,Family B graph tallies,12,5000,0.9806331471135941,0.9778417266187049,0.8511246200607903,1.0,4837,0.03259999999999996,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,4451,0.10980000000000001,0.9896551724137931,0.9937106918238994,0.9229962962962963,1.0,4837,0.03259999999999996
prevalence_only,prevalence-only baseline,12,5000,0.9441340782122906,0.9336609336609337,0.6610169491525424,1.0,4843,0.031399999999999983,0.0,0.0,0.0,0.0,4436,0.11280000000000001,0.9712643678160919,1.0,0.8204127459366981,1.0,4843,0.031399999999999983
