n_groups,group_size,global_prevalence,prevalence_heterogeneity,within_signal,n_replicates,ndc_mean,ndc_sd,n_groups_mean,n_groups_sd,p_dual_class_group_mean,p_dual_class_group_sd,structural_auc_pooled_mean,structural_auc_pooled_sd,structural_auc_within_mean,structural_auc_within_sd,structural_auc_cross_mean,structural_auc_cross_sd,prevalence_auc_pooled_mean,prevalence_auc_pooled_sd,prevalence_auc_within_mean,prevalence_auc_within_sd,prevalence_auc_cross_mean,prevalence_auc_cross_sd,n_within_pairs_mean,n_within_pairs_sd,n_cross_pairs_mean,n_cross_pairs_sd,share_within_pairs_mean,share_within_pairs_sd
4,8,0.05,0.0,0.0,100,1.4,0.9639984073082949,4.0,0.0,0.35,0.24099960182707372,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,11.16,8.234836079274755,38.12,27.830395417437195,0.22624248612967215,0.010434484466785084
4,8,0.05,0.0,0.5,100,1.54,0.9147500624584165,4.0,0.0,0.385,0.22868751561460413,0.6328569186913426,0.22466656278630137,0.6292263478310238,0.25344654257124355,0.634180988619447,0.22398720649958434,0.5,0.0,0.5,0.0,0.5,0.0,12.5,7.70478009833093,43.2,26.864418283241672,0.22509483857812068,0.012142202108997533
4,8,0.05,0.0,1.0,100,1.82,0.9468715100612417,4.0,0.0,0.455,0.23671787751531043,0.7270316501609935,0.20711236496746455,0.7219899551147988,0.240977320568677,0.7283163435506814,0.2035922683471296,0.5,0.0,0.5,0.0,0.5,0.0,15.46,8.689271220501425,53.06,29.13355523110834,0.22524269736524688,0.011456133929609893
4,8,0.05,0.0,2.0,100,2.75,1.0087996667707457,4.0,0.0,0.6875,0.25219991669268643,0.8784081258683991,0.1018092717515335,0.8708505863853201,0.12389838293402387,0.8803626635481235,0.09928642216515299,0.5,0.0,0.5,0.0,0.5,0.0,26.49,10.771731616606589,92.24,37.50424083764503,0.22402402845248923,0.01952580170806725
4,8,0.05,0.5,0.0,100,1.41,0.9111542241585779,4.0,0.0,0.3525,0.22778855603964449,0.5807464273028421,0.22270681235710937,0.5,0.0,0.603503850458971,0.28682227437495333,0.5807464273028421,0.22270681235710937,0.5,0.0,0.603503850458971,0.28682227437495333,11.57,7.944574414420361,40.32,27.649640617241776,0.2239192890653014,0.013852140918508301
4,8,0.05,0.5,0.5,100,1.52,1.0586822378825862,4.0,0.0,0.38,0.26467055947064655,0.6821245718346662,0.21930443293742513,0.6166357237581097,0.2580261019293475,0.7003557289386197,0.23166212392731755,0.602405384289422,0.21285289377433467,0.5,0.0,0.6304430384202375,0.27297353989736944,12.8,9.458041311738148,44.32,32.85686128243739,0.22473476371453294,0.01270919772415062
4,8,0.05,0.5,1.0,100,1.76,0.8659670836117214,4.0,0.0,0.44,0.21649177090293034,0.7613519319265065,0.17793468290558115,0.7401147145304711,0.23445493146586724,0.7668525062777161,0.17547461260573624,0.5624497616548477,0.2165356588542078,0.5,0.0,0.5784488160810108,0.277303470487255,14.81,8.45390950144286,52.06,30.815783703364175,0.2238674062054207,0.015727081382565546
4,8,0.05,0.5,2.0,100,2.74,0.949428323473732,4.0,0.0,0.685,0.237357080868433,0.8820355333198294,0.07879268675132158,0.8705664979401885,0.10423342234701102,0.8850695651123951,0.07870690256336575,0.5615010938677757,0.14831016533344402,0.5,0.0,0.5784207091031356,0.1889012139278536,25.67,10.038365797219578,88.74,35.290030640766844,0.225440469238931,0.017113259927771674
4,8,0.05,1.0,0.0,100,1.59,0.9330627313348554,4.0,0.0,0.3975,0.23326568283371385,0.6747156816688396,0.18892771823924295,0.5,0.0,0.7212252626915374,0.2397681118523951,0.6747156816688396,0.18892771823924295,0.5,0.0,0.7212252626915374,0.2397681118523951,14.21,9.114640237917603,51.98,35.78780899590352,0.21910910488859756,0.019148822481784355
4,8,0.05,1.0,0.5,100,1.59,0.9857059204530334,4.0,0.0,0.3975,0.24642648011325835,0.7576732084128547,0.16863270055519486,0.6155512109330565,0.22626591273860291,0.7954619801568992,0.1829339573326877,0.7122762538480262,0.16399868062311157,0.5,0.0,0.7669064432470951,0.20526386176139794,14.64,9.831427653040514,56.34,40.760502767490316,0.21343472008442133,0.029613332010740873
4,8,0.05,1.0,1.0,100,1.83,0.9852959356498334,4.0,0.0,0.4575,0.24632398391245836,0.7747673812841281,0.1735017537886792,0.7223952587365664,0.204840038288095,0.7883283965608385,0.17643068510826745,0.6598857406091988,0.17325653252323286,0.5,0.0,0.7026274732357247,0.21943797048383779,16.82,10.017540172672685,60.56,36.66620385382846,0.21937236492262135,0.018801171929877916
4,8,0.05,1.0,2.0,100,2.64,0.8589399151150083,4.0,0.0,0.66,0.21473497877875208,0.8742594445497346,0.1041047819561003,0.8670013368084584,0.1279863231260566,0.8759623168834613,0.10846128996250938,0.617280833227663,0.18368093387836898,0.5,0.0,0.6476107476897477,0.23184786649876404,26.56,9.902881939469474,96.12,36.83083907638688,0.21820456002430538,0.0213549493423509
4,8,0.05,2.0,0.0,100,1.67,0.9107106782035334,4.0,0.0,0.4175,0.22767766955088334,0.8030370445387828,0.12297441292651927,0.5,0.0,0.8705651859629105,0.144925395068055,0.8030370445387828,0.12297441292651927,0.5,0.0,0.8705651859629105,0.144925395068055,17.7,10.811983624617172,83.2,57.209874121253726,0.1896982676993448,0.040998062864690876
4,8,0.05,2.0,0.5,100,1.74,0.9808262853432312,4.0,0.0,0.435,0.2452065713358078,0.7900643799867367,0.15779193782662398,0.5647749982961578,0.23862442574183307,0.8388737678668841,0.17154840345485445,0.7808390712774286,0.1412096694236724,0.5,0.0,0.8437324103884842,0.16693207619598,17.6,11.16542281629615,81.78,56.31935993093585,0.19329342182396983,0.04896224141554767
4,8,0.05,2.0,1.0,100,1.9,1.1055415967851334,4.0,0.0,0.475,0.27638539919628335,0.8493261431878556,0.1523656976743013,0.7474186599232812,0.17373167547050908,0.8689645923982476,0.16347470789113056,0.7515345174568628,0.18312759468815593,0.5,0.0,0.8052854587834071,0.22164361477659553,20.26,12.52038338071163,91.08,57.48213248963155,0.19226219719693916,0.04388799754824572
4,8,0.05,2.0,2.0,100,2.65,0.8689364217539193,4.0,0.0,0.6625,0.21723410543847982,0.9061597102577288,0.0794672321999995,0.8835166084645644,0.10906771687104701,0.9107416143604357,0.08225997701446176,0.7186575638667333,0.13974037938255512,0.5,0.0,0.7705431913435763,0.1690434516137185,28.78,11.736655865666801,116.88,49.358977773741294,0.20381287904175147,0.03800749352996628
4,8,0.1,0.0,0.0,100,2.17,1.0449977043133645,4.0,0.0,0.5425,0.2612494260783411,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,19.18,10.843589550671602,65.5,37.58398003878189,0.22694576986335946,0.01208399118728223
4,8,0.1,0.0,0.5,100,2.31,1.1073218214058713,4.0,0.0,0.5775,0.27683045535146783,0.6349756399677559,0.18157528872636935,0.6389363322834142,0.19438946165531662,0.6335930416581299,0.18451853031820137,0.5,0.0,0.5,0.0,0.5,0.0,20.75,10.468205831628136,71.84,36.06915915881936,0.22422067922104907,0.017173626444437082
4,8,0.1,0.0,1.0,100,2.82,0.9031929892097124,4.0,0.0,0.705,0.2257982473024281,0.7595161401770496,0.13278577713264805,0.7550139504347854,0.15074933837940313,0.7611050699743976,0.13340458160245017,0.5,0.0,0.5,0.0,0.5,0.0,26.95,10.132829931674685,91.98,33.4754485640694,0.22615667315685953,0.013963537446027333
4,8,0.1,0.0,2.0,100,3.36,0.7038135657640703,4.0,0.0,0.84,0.17595339144101757,0.8776459926997595,0.07404334834725108,0.8862349284560582,0.0921739103569389,0.8752420488048317,0.0743169372679647,0.5,0.0,0.5,0.0,0.5,0.0,36.15,9.080309477216083,124.68,29.492981531136518,0.2246861484876665,0.01913891651839814
4,8,0.1,0.5,0.0,100,2.38,0.9616904308812088,4.0,0.0,0.595,0.2404226077203022,0.6030508599897165,0.171232930195829,0.5,0.0,0.631331426561185,0.2176317419457069,0.6030508599897165,0.171232930195829,0.5,0.0,0.631331426561185,0.2176317419457069,22.42,10.269283413081062,78.68,36.46746993741633,0.22319566833658325,0.017231890735927714
4,8,0.1,0.5,0.5,100,2.34,1.0072464715974212,4.0,0.0,0.585,0.2518116178993553,0.6741783185865171,0.16581182312010365,0.6366685734829137,0.19488557944591964,0.6838086143305803,0.18112330053346193,0.6028415090717993,0.18628783293008042,0.5,0.0,0.6303996092023036,0.23604263252189622,22.62,10.609486892456776,80.16,37.08214196247639,0.2202713368737043,0.019671468087675816
4,8,0.1,0.5,1.0,100,2.78,0.9700567514378223,4.0,0.0,0.695,0.24251418785945558,0.7393333125836421,0.14282107092925422,0.7141107284639686,0.1522736510101077,0.7458993322478193,0.1464723649235217,0.5827902143659105,0.14097702286965821,0.5,0.0,0.606002079564738,0.17841025349704873,26.93,11.12123730490089,92.6,37.31547191775075,0.2256055284867997,0.018115040253618375
4,8,0.1,0.5,2.0,100,3.23,0.8147007878585693,4.0,0.0,0.8075,0.2036751969646423,0.8642242073050749,0.1074709001484472,0.8603974215513835,0.1153165486596922,0.8651618575098735,0.10838101299866003,0.557536285736675,0.12988833550715081,0.5,0.0,0.5728549267679085,0.16440166848000054,35.02,11.039854339545602,121.16,36.31865703030398,0.22419526944664966,0.01902736264669455
4,8,0.1,1.0,0.0,100,2.24,1.0062431378773484,4.0,0.0,0.56,0.2515607844693371,0.6735180291591534,0.16247532477568774,0.5,0.0,0.7162847782878221,0.20074367061409376,0.6735180291591534,0.16247532477568774,0.5,0.0,0.7162847782878221,0.20074367061409376,22.61,11.637535057829997,88.5,49.65446260474134,0.21030144502495338,0.029888171656865192
4,8,0.1,1.0,0.5,100,2.39,1.1272116307978999,4.0,0.0,0.5975,0.28180290769947497,0.7258050950299664,0.17696328125211128,0.6126781319233271,0.21308654448184733,0.7504169705355078,0.1967926731210141,0.6645229086419521,0.18453825955760506,0.5,0.0,0.7029956420765834,0.2281475610162109,24.81,12.887779036158577,94.34,48.33640951548309,0.2111589981242266,0.03214946642519408
4,8,0.1,1.0,1.0,100,2.66,0.9663008712287151,4.0,0.0,0.665,0.24157521780717878,0.8110612956571569,0.13554341888828517,0.7529260466548101,0.15365463333703083,0.8254920489068394,0.14399794628783752,0.6752301401665162,0.1558905981342087,0.5,0.0,0.7200236579735625,0.19329761981570942,28.16,11.758272394232483,105.94,45.336412551395185,0.21253372348246533,0.02471840503451801
4,8,0.1,1.0,2.0,100,3.18,0.8572919543244851,4.0,0.0,0.795,0.21432298858112128,0.9048186881840825,0.06501375402089427,0.9048595892027169,0.07921542544944475,0.9045961875322901,0.06654123605499745,0.6330766947734792,0.137579836737754,0.5,0.0,0.6683703486603008,0.17110180442474685,36.05,11.86998166158923,129.42,41.95263803843375,0.21877934894820558,0.021511372205158568
4,8,0.1,2.0,0.0,100,2.03,1.0584436831041273,4.0,0.0,0.5075,0.2646109207760318,0.7971887972895182,0.15073629369629643,0.5,0.0,0.8527708495567969,0.1732990195094421,0.7979056431676544,0.14881288534821338,0.5,0.0,0.8537058659195834,0.1706406581317796,21.53,12.823160076339777,115.98,69.5593605955708,0.17314102156470818,0.05680941569625498
4,8,0.1,2.0,0.5,100,2.2,0.9744203145947593,4.0,0.0,0.55,0.24360507864868983,0.8410518572197104,0.10666633727538491,0.6197217301909418,0.17503710846214474,0.8803167299982757,0.1059993204005263,0.8177617407863039,0.1099544379239164,0.5,0.0,0.8759672380365369,0.1173139520229046,25.33,11.676666709919635,135.4,57.43366837166387,0.16530209402075707,0.05009023568641096
